债券代码,发行人,是否违约,违约、展期日期,是否有担保,企业性质,是否上市公司,所属行业（Wind),主营业务收入（百万元）,毛利率,净利率,ROE,ROA,主营业务比率,ROIC,EBITDA/营业总收入,经营活动净收益/利润总额,销售商品提供劳务收到的现金/营业收入,经营活动产生的现金流量净额/营业收入,净利润现金含量,资产负债率,长期资本负债率,流动资产/总资产,流动负债/负债合计,流动比率,速动比率,现金比率,现金到期债务比,现金流量利息保障倍数,息税折旧摊销前利润/负债,经营活动产生的现金流量净额/带息债务,经营活动产生的现金流量净额/净债务,非筹资性现金净流量与负债总额的比率,已获利息倍数(EBIT/利息费用),长期债务与营运资金比率,长期负债占比,EBITDA/带息债务,EBITDA/利息费用,货币资金/短期债务,营业周期,存货周转率,应收账款周转率,应付账款周转率,现金周转率,营业利润(同比增长率),营业收入(同比增长率),净资产(同比增长率),总负债(同比增长率),现金净流量(同比增长率),货币资金增长率,Z值,审计意见类别,大股东持股比例,实际控制人属性,估价收益率(%)(中债),估价凸性(中债),最新未使用授信额度,对外担保余额,所属省市,注册资本,有息负债,短期借款,长期借款,应付债券,取得借款流入的现金,一年内到期的非流动负债
163023.SH,北京鸿坤伟业房地产开发有限公司,1,2022/11/22,1,民营企业,0,房地产开发,12078.35498,14.821,-32.3568,-46.0671,-3.1406,98.11976229,-20.1115,-14.30196129,0,54.34,5.13,-15.52804554,86.5294,57.91088498,70.7984,81.514,1.0038,0.3852,0.044549594,8.327620255,0.282034672,-0.0394,0.047615398,0.0542,8.95307355,-0.8789,60.4144,16.09057149,-0.13286734,-0.861016725,0.213192038,940.2329,0.4042,7.2603,2.071483858,684.5481502,-757.6109,35.7287,-48.44933749,-10.97042278,-44.26269862,-43.17089861,0.264684625,标准无保留意见,100,个人,111.9631,0.3989,28.59,49075,北京市,22,130.0125112,1393.542725,4711.256694,2339.752512,28.3426887,41.82043577
169687.SH,正荣地产控股股份有限公司,1,2022/11/20,0,民营企业,0,房地产服务,36545.56673,14.812,3.7245,4.7317,0.9937,102.0530866,1.0104,6.283083182,59.5923,187.95,32.66,1149.303482,78.4928,54.03651161,89.3814,86.0772,1.3229,0.4433,0.2201723,38.91778945,3.316125776,0.0122,0.232321796,0.7544,2.379655547,0.6935,0.5009,13.5595129,0.044694592,21.53304445,1.159287112,1548.5035,0.2331,87.7619,1.745544657,121.1443807,-49.596,2.7258,2.482557887,14.69726184,-139.7394686,6.06048958,0.674837752,标准无保留意见,81.54000092,个人,10.6159,1.3345,548.55,4514400,上海市,82,513.7508299,6869.985627,22162.40747,2368.226872,308.1772081,199.7446302
175354.SH,融侨集团股份有限公司,1,2022/11/18,0,中外合资企业,0,房地产开发,20600.07909,13.8289,0.052,-0.7277,1.1839,103.0319334,-0.2113,5.968138977,11.8282,109.9,54.98,-10395.63629,72.1195,59.88506016,79.3034,65.655,1.6748,0.5334,0.187731745,175.4929155,15.08354315,0.0185,0.437166064,0.6387,16.66345829,1.7824,0.7752,31.39486369,0.047456186,1.885134669,1.26679295,1093.7823,0.3298,162.7727,5.810516238,205.1927198,-75.0596,-7.0292,-0.523316613,-16.01809653,-263.8752232,-46.24980841,1.048675962,标准无保留意见,91,个人,10.2533,1.3221,845.07,327700,福州市,12.2368,259.0687217,657.8118431,12519.6627,7084.16127,126.14485,56.37006668
136112.SZ,深圳市前海平裕商业保理有限公司,1,2022/11/18,0,公众企业,0,其他多元金融服务,484.4630623,86.5754,50.9986,29.3904,12.2152,100,25.6209,0,92.5786,109.63,272.62,534.5699299,78.3694,0,99.9999,100,1.276,1.276,0.006477668,0,13.44202801,0,0,0,38.11920544,4.4413,0,0,0,0,0,0,0,0,0,5025.847258,43.1202,48.2885,34.50088523,93.70163996,144.3041807,328.6252494,0.981506467,标准无保留意见,0,0,0,0,0,0,深圳市,5,0,0,0,0,279.3509724,0
177153.SH,武汉当代科技投资有限公司,1,2022/11/14,0,民营企业,0,医疗保健技术,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.71430206,个人,7.3736,4.4718,68.300827,333207.03,武汉市,35,0,0,0,0,0,0
175387.SH,鑫苑(中国)置业有限公司,1,2022/11/14,0,其他,0,房地产开发,5642.206442,14.4564,-12.573,-6.1666,-1.0497,96.87776023,-2.685,-11.01415888,0,165.42,81.6,-876.6884945,86.9668,47.46134196,92.4827,87.185,1.2197,0.4162,0.07556292,89.45666409,7.690580042,-0.011,0.415429928,0.6234,7.755635754,-23.4084,0.6689,11.93141431,-0.056073763,-21.19532428,0.718428358,2902.6926,0.1245,32.3557,0.509850718,140.6465547,-567.5423,-34.8277,-10.92723562,3.586011185,-2519.695551,-46.77568204,0.459875141,标准无保留意见,100,个人,37.1121,2.6945,191.47,322115,郑州市,3.07,110.8257311,430,4373.613765,2375.25524,47.8543475,38.8959085
155832.SH,上海世茂建设有限公司,1,2022/11/11,0,其他,0,房地产经营公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,个人,50.0228,4.4328,306.37,2592442.51,上海市,5.4,0,0,0,0,0,0
g21111101.00,三盛控股(集团)有限公司,1,2022/11/10,0,民营企业,1,房地产经营公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,个人,0,0,0,0,香港特别行政区,2,0,0,0,0,0,0
163619.SH,武汉天盈投资集团有限公司,1,2022/11/9,1,民营企业,0,其他多元金融服务,947.7645731,49.1094,-179.7495,-34.4602,-7.0939,99.94098063,-12.9367,-146.5076976,0,77.33,-3.11,1.597023168,58.6208,2.321221962,42.4466,99.008,0.7313,0.7313,0.421089519,-0.44154125,-0.082444714,-0.1297,-0.004402158,-0.0047,15.30879634,-3.9324,0,0,-0.207693494,-3.902987525,0.06208999,4.1011,0,87.7818,100.1412757,217.4922741,-616.2075,-39.4771,-28.18446824,-12.63877173,-143.2042145,-11.33817403,-0.055324514,标准无保留意见,75.90000153,0,7.8858,0.3616,1.96,95000,武汉市,72.59,66.85563548,30.05958333,0,0,0.3,66.35434993
114393.SZ,北京信中利投资股份有限公司,1,2022/11/7,1,民营企业,0,多领域控股,230.1750702,70.4762,-724.3278,-260.6658,-34.2337,45.84100063,-542.358,-598.5692785,0,84.61,-5.81,0.839565498,105.5657,171.5818511,46.3474,73.1879,0.5999,0.5999,0.290076011,-29.85318147,-0.064344026,-0.4831,-0.030120492,-0.0307,1.317402794,-6.7865,0,13.88589012,-3.101979355,-6.649697104,0.193112562,243.1283,0,1.4807,0.502631188,615.7053304,57.8279,-73.7991,-124.9702363,-4.926001736,66.13066397,-93.26152309,-3.111066381,无法表示意见,30.70929909,个人,6.1677,4.4518,2.08,1000,北京市,12.89998402,4.441542317,0,61.09,334.9,0,0.448131261
150390.SH,俊发集团有限公司,1,2022/10/24,0,民营企业,0,房地产开发,15815.4947,36.6681,5.3335,4.5026,1.4429,104.5172319,1.5357,14.56011834,64.6256,171.59,12.77,184.0921738,78.1988,55.5085307,66.6718,75.3538,1.1315,0.3157,0.055606842,13.04296353,2.881951051,0.0186,0.054634659,0.0635,0.259502421,3.593,2.4881,18.64691193,0.062309909,3.722203381,0.333638559,9.048,0,39.7879,0.938699602,203.8041208,-74.0386,-28.2559,0.488551981,6.927252596,-473.0396917,-61.67259999,0.517762045,标准无保留意见,100,个人,6.5554,1.1935,251.56,332600,昆明市,29.10462,369.5647748,100,21048.46691,2000,124.7091445,138.0801057
168299.SH,广州市时代控股集团有限公司,1,2022/10/20,0,民营企业,0,房地产开发,44015.756,31.5401,14.1077,18.2797,4.7886,97.93188079,5.7153,21.43194814,99.4072,118.68,7.92,72.9991898,74.8991,51.47395708,78.5052,80.6704,1.2993,0.5594,0.173756786,39.68414072,1.258220156,0.065,0.099806082,0.2389,-13.56435764,3.6888,0.8006,16.72300539,0.270156745,19.79019955,2.315300981,1033.0374,0.3686,6.3865,1.62166642,196.7492214,11.8597,15.1524,2.453005159,1.887615159,-282.2446526,-41.53277237,0.912597261,标准无保留意见,100,个人,0,0,414.6,840500,广州市,8.3,349.18373,0,15460.649,8797.608,0,82.89902
112875.SZ,深圳市龙光控股有限公司,1,2022/10/19,0,其他,0,房地产服务,71137.74088,23.186,13.9983,20.7807,6.2478,99.66232557,7.8657,20.84823608,91.3259,81.82,3.24,23.8472019,74.516,44.33642492,83.9427,79.7616,1.4123,0.6927,0.232178613,9.557998303,0.80202895,0.0778,0.040036056,0.1038,-9.030543402,7.6137,0.6154,17.55568419,0.257920807,7.627341188,1.466503856,730.4657,0.5184,9.9941,2.552202077,256.6636486,-26.363,2.563,9.039544475,18.57805254,-848.9344536,-2.134484184,1.23044009,标准无保留意见,75,个人,6.5544,0.0936,479.72,5649300,深圳市,4.43,575.020075,1152.3,24441.1675,9044,310.2224904,228.6454
166346.SH,鸿达兴业集团有限公司,1,2022/10/17,0,民营企业,0,基础化工,6535.265635,30.2959,-60.5016,-134.9234,-3.3661,99.59916451,-15.2455,-0.856086468,0,27.37,-6.81,9.632239855,70.2213,39.96948381,16.869,95.9723,0.2503,0.208,0.003708779,-2.352590435,-0.171730088,-0.0023,-0.022509386,-0.0226,0.881633342,-0.4732,0,3.624173072,-0.002830495,-0.021552599,0.004170511,197.4317,4.7684,2.9524,2.909966643,10004.17851,-190.5859,2.7595,-71.89072382,-3.448496707,96.46368716,-88.65009315,-0.232640814,标准无保留意见,72,个人,0,0,29.433494,13700,广州市,2.8,197.6598329,8976.300629,0,900.0778303,3.908977119,98.89604827
149256.SZ,阳光城集团股份有限公司,1,2022/10/14,0,民营企业,1,房地产开发,42526.4837,8.2647,-17.6193,-28.4408,-1.773,98.83830018,-5.4987,-14.13032095,0,180.86,21.55,-131.822361,88.2462,71.75625925,85.2434,85.3815,1.1314,0.3826,0.070197053,20.93042782,7.616202324,-0.019,0.108687071,0.139,2.575023992,-7.2298,1.3034,14.21154911,-0.071271324,-6.896808572,0.41999531,1832.0715,0.1982,22.8944,1.403320919,157.6115148,-177.462,-48.2465,-40.73030871,7.888104164,-807.7927127,-63.07915524,0.237715061,保留意见,16.30999947,个人,305.1873,0.3875,529.53,10103500,福州市,41.4038295,843.1341346,4578.840741,33448.22697,11483.04381,377.2034516,343.6333422
XGQB.SG,旭辉控股(集团)有限公司,1,2022/10/8,0,民营企业,1,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.49000168,个人,0,0,0,0,上海市,20,0,0,0,0,0,0
KJRB.SG,鑫苑置业有限公司,1,2022/10/7,0,其他,1,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,北京市,0.0005,0,0,0,0,0,0
175192.SH,上海世茂股份有限公司,1,2022/9/26,0,外资企业,1,房地产开发,19391.61644,36.6053,11.0125,3.7035,2.2361,97.60448832,1.1083,17.91462751,105.0228,134.25,-83.09,-1676.648354,65.7406,52.07793535,56.6739,70.1616,1.2287,0.286,0.134921717,-102.4249371,-47.65907137,0.037,-0.427122153,-0.5588,-17.66259876,15.7316,1.8595,24.2100192,0.092087552,16.28372987,0.565149988,1883.0878,0.1972,6.2576,0.681821531,184.7278484,-32.3403,-10.6597,-1.069780359,-5.42743307,-1214.573779,-38.06120732,0.58577754,带强调事项段的无保留意见,43.72999954,境外,146.0766,0.2519,51.06,122500,上海市,37.51168261,377.2427176,1612.5,18658.912,4098.079295,315.784,132.9140971
143302.SH,重庆市中科控股有限公司,1,2022/9/26,0,民营企业,0,建筑与工程,4315.880943,9.3222,-13.5382,-14.4237,-2.6267,94.96677461,-6.049,-8.005114801,0,64.4,12.28,-88.43561508,73.3981,40.50962263,74.6965,77.5107,1.313,1.0349,0.041157028,13.44566288,5.24049951,-0.0292,0.094380444,0.1002,0.367923382,-5.4732,0.9271,21.3346588,-0.061516319,-3.86597229,0.082406939,732.6564,0.6011,2.6915,1.276614653,2697.586558,-294.9975,-2.1987,-10.53437694,-17.70111733,-31.22397072,-75.1306214,0.686772455,无法表示意见,76.25,个人,6.376,0.991,30.95,109565,重庆市,11.67,56.162532,1973.25275,2526.777726,0,33.11021955,11.16222724
167738.SH,广西万通房地产有限公司,1,2022/9/22,0,其他,0,房地产经营公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.36000061,个人,137.7357,0.2636,132.6592,92808.7,南宁市,1.92526,0,0,0,0,0,0
5027.HK,当代国际投资有限公司,1,2022/9/21,1,其他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175172.SH,华夏幸福基业控股股份公司,1,2022/9/21,0,民营企业,0,房地产开发,43180.8129,8.7371,-103.4232,-83.4601,-6.5302,88.33366292,-6.2009,-68.96120713,0,87.78,-3.96,11.74917821,94.6099,96.31919085,88.6039,87.092,1.0753,0.6885,0.038542771,-1.061453531,-0.091503771,-0.0691,-0.008136749,-0.0087,0.028475285,-1.7037,1.9677,12.3922353,-0.141626834,-1.612001411,0.089800878,3195.3132,0.1335,0.7219,0.762232239,224.9712852,-883.9628,-57.3348,-93.50868932,3.46279756,22.94660558,-47.46184451,-0.048510358,标准无保留意见,58,个人,0,0,2879.1315,643500,廊坊市,10.5,2102.568354,27890.7441,31680.74329,21659.03171,4.498,1288.772563
143818.SH,山东如意科技集团有限公司,1,2022/9/19,0,中外合资企业,0,纺织品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.48000336,个人,0,0,23.314056,217315.62,济宁市,40.5406,0,0,0,0,0,0
167596.SH,厦门禹洲鸿图地产开发有限公司,1,2022/9/15,0,中外合资企业,0,房地产经营公司,21226.47642,16.5348,8.1051,10.4236,2.2498,99.45655374,2.8372,12.60219276,63.7173,135.76,26.26,430.6294815,76.7764,43.60669777,84.7428,89.1139,1.2386,0.5587,0.157668982,67.07050476,23.32407897,0.0288,0.318261656,1.2342,2.712814235,15.1344,0.512,9.909431208,0.152721351,15.17094382,1.563975694,1118.063,0.3225,201.8049,3.537575771,186.4829968,740.419,153.0431,11.30871444,-1.299286998,4.395009415,-12.96331593,0.745876333,标准无保留意见,99.93000031,个人,292.2115,0.1065,214.2,229300,厦门市,15,175.1556979,0,7098.554085,2105.561548,36.9132,83.11454154
LVMB.SG,阳光城嘉世国际有限公司,1,2022/9/15,1,其他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114821.SZ,融创房地产集团有限公司,1,2022/9/13,0,民营企业,0,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,个人,107.0602,0.3215,1603.23,4301900,天津市,150,0,0,0,0,0,0
012105445.IB,阳谷祥光铜业有限公司,1,2022/9/13,0,中外合资企业,0,贵金属与矿石,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,个人,6.4479,0.9005,47.329067,67700,聊城市,47.3,0,0,0,0,0,0
179831.SH,声赫(深圳)商业保理有限公司,1,2022/9/9,0,民营企业,0,特殊金融服务,80.72171979,9.694,1.1917,0.6475,0.6185,91.29892506,0.6453,0,-165.2254,152.84,-5.9,-508.0233436,12.0827,0,96.9725,100,8.0257,8.0257,0.183672719,0,0,0,0,0,-21.51157038,11.7801,0,0,0,0,0,0,0,0,50.27350361,1389.01682,-72.0928,60.3289,0.666934925,-34.62748001,0,-53.98568183,5.839755782,标准无保留意见,0,0,45.5397,0.5237,0,0,深圳市,3,0,0,0,0,11.71361001,0
YXKB.SG,佳兆业集团控股有限公司,1,2022/9/7,0,公众企业,1,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29000092,0,0,0,0,0,深圳市,50,0,0,0,0,0,0
40439.HK,中梁控股集团有限公司,1,2022/8/28,0,民营企业,1,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,个人,0,0,0,0,上海市,2,0,0,0,0,0,0
40172.HK,弘昇有限公司,1,2022/8/27,1,其他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114551.SZ,融信(福建)投资集团有限公司,1,2022/8/26,0,民营企业,0,房地产开发,33809.67483,13.2532,4.7798,4.9561,1.1001,104.327605,1.2581,8.071332016,69.284,171.34,11.17,310.5793367,74.9382,50.69513211,88.7737,85.2713,1.3892,0.4492,0.148367249,25.91927221,149.6918195,0.0155,0.099504604,0.2329,2.723956903,0,0.4438,13.56072607,0.071899528,0,1.491717151,1674.1226,0.2163,36.8569,2.114211915,174.3716785,-38.8364,-30.3527,5.082077078,7.603417938,-344.8596723,-18.23830161,0.776001694,标准无保留意见,100,个人,17.7512,0.6873,703.28,340900,福州市,40.25,379.5422842,784.775,21802.89649,1999.11606,126.5165518,132.9424506
136505.SZ,深圳市柏霖汇商业保理有限公司,1,2022/8/24,0,民营企业,0,调查和咨询服务,1553.041729,7.7716,7.1722,5.4043,4.2744,99.99996739,5.2457,6.271604768,91.5385,130.56,64.9,904.8537323,6.6595,0.075371514,99.7181,98.9428,15.1338,15.1338,4.353560127,54624.3442,0,0.6449,152.1564388,0,203.3730381,0,0.0008,0,14.70419152,0,352.5718595,26.1002,0,13.793,47.15478758,311.8762235,-24.0609,-28.443,5.554377842,-0.099314931,356.4007003,88.34484592,10.72974857,标准无保留意见,0,0,0,0,0,0,深圳市,20,0.066240051,0,0,0,132.0953199,0.018451206
136619.SH,中静新华资产管理有限公司,1,2022/8/24,1,其他,0,其他多元金融服务,117.3804143,94.952,722.6064,11.0381,6.6605,103.3597917,7.557,84.09543829,102.6758,121.19,-56.16,-7.88993064,52.6951,3.761069018,19.5414,96.5721,0.384,0.384,0.032655351,-2.294265134,-0.260978452,0.1227,-0.022827519,-0.0253,5.493607161,4.3632,0,1.81246614,0.38656063,4.426598125,0.098929103,0,0,0,0,67.89253635,9.7334,44.4398,11.50877079,8.078301705,166.9418604,340.1182276,0.721108087,标准无保留意见,58.59999847,其他,9.8246,0.7392,0,21000,黄山市,28.75,28.87649276,994.2224162,0,0,0.148895137,18.78935844
40773.HK,上坤地产集团有限公司,1,2022/8/21,0,民营企业,1,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,个人,0,0,0,0,上海市,0.0002,0,0,0,0,0,0
151984.SH,佳源创盛控股集团有限公司,1,2022/8/19,0,民营企业,0,房地产开发,20734.53142,13.8659,5.4858,5.9378,2.4048,102.0480401,2.3847,9.962398896,70.5191,94.7,21.72,429.0303275,66.965,50.93906263,64.2598,62.5434,1.5343,0.4364,0.090551721,174.762788,8.204572439,0.0411,0.234406132,0.2748,2.427646576,3.8486,1.1209,33.05503217,0.107495252,4.054234246,1.096929677,884.5219,0.4295,7.769,3.003421965,578.4213741,-39.1659,-19.8595,5.369402968,-20.65550619,-303.0873119,-39.22508959,1.141788326,标准无保留意见,98.83000183,个人,8.4465,0.7218,275.89,730973.12,嘉兴市,15,192.1626008,221.8715022,14237.25728,2387.69757,91.73673173,23.45750606
